Recette,Quantité(s),,Produit(s),Magasin(s),Instructions pour la recette,Pimpage,Apports nutritifs,,,,Aliment,Poids,Apports nutritifs,,,Commentaires,,,,,,,,,,,,,,,Pancakes avec garnitures,,,,Épicierie
,,,,,,,Calcium,"76,04",mg,,,,Protéines,"1,792",g,,,,,,,,,,,,,,,,Dhal de lentilles corail,,,,
,,,,,,,Vitamines C,"7,6375",mg,,,,Lipides,"1,648",g,,,,,,,,,,,,,,,,Crumble de légumes,,,,
Salade de tomate,"2,5",,Tomates,Primeur ou producteur,"Découpez les tomates en rondelles, émincez les oignons rouges très finement et les mettre dans un saladier.

Ciselez finement le basilic. Mélangez l'huile, le vinaigre, le basilic ciselé, le sel et le poivre. Ajoutez la vinaigrette à la salade de tomates.",Utilisez des tomates cœur de bœuf ou de différentes couleurs !,Calories,"152,255",kcal,,,,Glucides,"0,928",g,,,,,,,,,,,,,,,,Tomates provençales,,,,
,"0,5",,Oignons rouges,Primeur ou producteur,,,Protéines,"3,48215",g,,,,Calcium,"11,2",mg,,,,,,,,,,,,,,,,Nouilles sautées,,,,
,1,tiges,Basilic,Primeur ou producteur,,,Lipides,"8,7065",g,,,,Vitamines C,"0,04",mg,,,,,,,,,,,,,,,,Risotto ,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,Glucides,"11,6875",g,,1 c. à s. Mayonnaise,15 g,Calories,"104,4",kcal,,,,,,,,,,,,,,,,Falafels,,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,Calcium,"80,91775",mg,,,,Protéines,"0,204",g,,,,,,,,,,,,,,,,Fromage au feu,,,,
,,,Sel & Poivre,Épicerie,,,Vitamines C,"43,8675",mg,,,,Lipides,"11,28",g,,,,,,,,,,,,,,,,Omelette aux pommes de terre,,,,
Coleslaw,"0,125",,Choux blancs,Primeur ou producteur,"Hachez finement le chou blanc, les oignons et râpez les carottes.

Mettre le tout dans un saladier, et mélangez avec la mayonnaise, le sel et le poivre",Vous pouvez rajouter des pignons de pin ou des graines de sésame grillées !,Calories,"407,1",kcal,,,,Glucides,"0,393",g,,,,,,,,,,,,,,,,Omelette aux légumes,,,,
,"0,25",,Oignons,Primeur ou producteur,,,Protéines,"3,8165",g,,,,Calcium,"2,64",mg,,,,,,,,,,,,,,,,Piperade,,,,
,"0,625",,Carottes,Primeur ou producteur,,,Lipides,"34,5345",g,,,,Vitamines C,"0,075",mg,,,,,,,,,,,,,,,,Pommes de terre farcies,,,,
,5,g,Raisins secs,Primeur ou producteur,,,Glucides,"16,2365",g,,1 sachet Levure chimique,10 g,Calories,"7,6",kcal,sachet alsa,,,,,,,,,,,,,,,Boulettes de viande à la sauce tomate,,,,
,3,c. à s. ,Mayonnaise,Épicerie,,,Calcium,"135,61",mg,,,,Protéines,"0,196",g,,,,,,,,,,,,,,,,Brochettes de viandes et de légumes,,,,
,,,Sel & Poivre,Épicerie,,,Vitamines C,"88,361",mg,,,,Lipides,"0,02",g,,,,,,,,,,,,,,,,Viandes et légumes cuits au barbecue,,,,
Champignons à la grecque,125,g,Champignons de Paris,Primeur ou producteur,"Nettoyez les champignons. Enlevez la peau de vos tomates, coupez-les en petits dés, puis mettez-les dans une casserole, avec l'huile d'olive, le jus de citron et les oignons coupés en lamelles.

Faites cuire 3 min en remuant régulièrement, puis rajoutez les champignons, le bouquet garni, du sel et du poivre, couvrez, et laissez mijoter doucement pendant environ 15 min, en remuant de temps en temps.

Laissez refroidir, puis servez frais.",Vous pouvez rajouter du piment d'Espelette ou du Tabasco pour un peu pimenter le tout !,Calories,"409,5416692",kcal,,,,Glucides,"3,32",g,,,,,,,,,,,,,,,,Calamars aux poivrons,,,,
,"0,666666667",,Tomates,Primeur ou producteur,,,Protéines,"12,59533342",g,,,,Calcium,896,mg,,,,,,,,,,,,,,,,Poêlée de crevettes au citron et à l'ail,,,,
,"0,166666667",,Oignons,Primeur ou producteur,,,Lipides,"12,50453337",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,Poisson en croûte de sel,,,,
