Recette,Quantité(s),,Produit(s),Magasin(s),Instructions pour la recette,Pimpage,Apports nutritifs,,,,Aliment,Poids,Apports nutritifs,,,Commentaires,,,,,,,,,,,,,,,Pancakes avec garnitures,,,,Épicierie
,"0,2",,Gousses d'ail,Primeur ou producteur,,,Protéines,"7,2531",g,,,,Protéines,"3,36",g,,,,,,,,,,,,,,,,,,,,
,50,ml,Crème fraîche épaisse,Épicerie,,,Lipides,"16,3984",g,,,,Lipides,"1,19",g,,,,,,,,,,,,,,,,,,,,
,50,ml,Lait ,Épicerie,,,Glucides,"34,117",g,,,,Glucides,17,g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"125,855",mg,,,,Calcium,"4,18",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"38,926",mg,,,,Vitamines C,"6,9",mg,,,,,,,,,,,,,,,,,,,,
Carottes au cumin,1,,Carottes,Primeur ou producteur,"Épluchez les carottes, et coupez-les en fines lamelles. Faites-les cuire 15 minutes dans de l'eau bouillante salée, puis égouttez-les.

Hachez l'ail, puis mélangez le avec les carottes et l'huile d'olive dans un saladier. Assaisonnez, mélangez bien et servez.",N'hésitez pas à rajouter un peu de jus de citron dans le plat !,Calories,"157,8475",kcal,,Amandes,100 g,Calories,634,kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à c.,Cumin,Épicerie,,,Protéines,"0,711625",g,,,,Protéines,"21,1",g,,,,,,,,,,,,,,,,,,,,
,"0,25",,Gousses d'ail,Primeur ou producteur,,,Lipides,"15,21575",g,,,,Lipides,"53,4",g,,,,,,,,,,,,,,,,,,,,
,1,c. à s.,Huile d'olive,Épicerie,,,Glucides,"3,0335",g,,,,Glucides,"7,85",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Calcium,"37,54675",mg,,,,Calcium,248,mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"1,26475",mg,,,,Vitamines C,"0,5",mg,,,,,,,,,,,,,,,,,,,,
Poêlée de légumes,200,g,Légumes de saison,Primeur ou producteur,"Épluchez les légumes et coupez-les en julienne (fines lamelles). Faites revenir les oignons dans une poêle avec l'huile d'olive. Si certains légumes nécessitent plus de cuisson, faites-les cuire à l'eau juste avant, mais sans surcuire ces légumes. Ajoutez-les ensuite à l'oignon, et faites-les revenir 5 minutes en assaisonnant. Servez chaud.",N'hésitez pas à ajouter des épices !,Calories,126,kcal,,Pousses de soja,100 g,Calories,"20,6",kcal,,,,,,,,,,,,,,,,,,,,
,1,,Oignons,Primeur ou producteur,,,Protéines,"1,65",g,,,,Protéines,"1,56",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,Lipides,"8,43",g,,,,Lipides,"0,12",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Glucides,"9,375",g,,,,Glucides,"2,36",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"37,69275",mg,,,,Calcium,"13,4",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"5,85",mg,,,,Vitamines C,"0,65",mg,,,,,,,,,,,,,,,,,,,,
Polenta,"62,5",g,Polenta,Épicerie,"Faites bouillir 4 fois plus d'eau que de polenta en volume. Ajoutez alors 1/3 de la polenta en pluie, et mélangez bien, puis ajoutez la fin de la polenta en mélangeant bien la polenta. Dès qu'elle se détache des bords de la casserole, la polenta est cuite. Assaisonnez et servez bien chaud;",N'hésitez pas à ajouter du lait à la place d'une partie de l'eau ou du fromage dans la polenta !,Calories,"40,625",kcal,,1 c. à c. Vinaigre blanc,14 g,Calories,"3,164",kcal,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Protéines,"0,8625",g,,,,Protéines,"0,0056",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"0,19375",g,,,,Lipides,"0,014",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"8,4375",g,,,,Glucides,"0,0868",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"3,1875",mg,,,,Calcium,"1,26",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"0,3125",mg,,,,Vitamines C,"0,07",mg,,,,,,,,,,,,,,,,,,,,
Gnocchis,2,,Pommes de terre,Primeur ou producteur,"Faites cuire les pommes de terre une demi-heure dans de l'eau bouillante, en vérifiant qu'elles soient bien fondantes à la fin de la cuisson. Égouttez-les, pelez-les et écrasez-les à la fourchette dans un saladier. Ajoutez la farine et assaisonnez, puis mélangez.

Pétrissez la pâte à la main, puis sur un plan de travail fariné, et formez des boudins d'environ 1 à 2 centimètres de diamètre. Coupez ces boudins en morceaux d'environ 2 centimètres de longueur, puis, dans une fourchette, faites rouler les morceaux en appuyant légèrement. 

Faites-les cuire dans une marmite d'eau bouillante, ils sont cuits dès qu'ils remontent à la surface. Servez bien chaud.",N'hésitez pas à faire revenir les gnocchis à la poile pour les rendre plus croustillants !,Calories,"295,6",kcal,,Fraises,100 g,Calories,"34,9",kcal,,,,,,,,,,,,,,,,,,,,
,40,g,Farine,Épicerie,,,Protéines,"7,944",g,,,,Protéines,"0,65",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Lipides,"0,7",g,,,,Lipides,"0,18",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"60,76",g,,,,Glucides,"6,14",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"35,56",mg,,,,Calcium,"13,1",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"37,8",mg,,,,Vitamines C,"67,4",mg,,,,,,,,,,,,,,,,,,,,
Tagliatelles,100,g,Tagliatelles fraîches,Épicerie,"Dans une grande casserole d'eau bouillante, faites cuire le tagliatelles 3 minutes, puis égouttez-les, placez-les dans un saladier, assaisonnez et versez l'huile d'olive puis mélangez. Servez chaud.","N'hésitez pas à faire vous-même les tagliatelles, même si cela peut être très compliqué en camp !",Calories,"316,75",kcal,,1 c. à s. Cassonnade,10 g,Calories,"38,9",kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s.,Huile d'olive,Épicerie,,,Protéines,"10,1",g,,,,Protéines,"0,012",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Lipides,"5,62",g,,,,Lipides,0,g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"53,8",g,,,,Glucides,"9,71",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"35,096375",mg,,,,Calcium,"8,3",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,0,mg,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
Blé,60,g,Blé,Épicerie,"Faites cuire, dans l'eau bouillante salée, le blé pendant une dizaine de minutes, puis égouttez le tout, et mettez-le blé cuit dans un saladier. Assaisonnez, et servez bien chaud.",N'hésitez pas à rajouter des légumes dans le blé !,Calories,"205,8",kcal,,1 Orange,150 g,Calories,"70,65",kcal,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Protéines,"7,26",g,,,,Protéines,"1,65",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"1,344",g,,,,Lipides,"0,54",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"37,44",g,,,,Glucides,"11,88",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"18,12",mg,,,,Calcium,"44,55",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,0,mg,,,,Vitamines C,"85,5",mg,,,,,,,,,,,,,,,,,,,,
Boulgour,60,g,Boulgour,Épicerie,"Faites cuire, dans 2 fois plus d'eau bouillante salée, le boulgour pendant une dizaine de minutes, puis égouttez le tout s'il reste de l'eau, et mettez-le boulgour cuit dans un saladier. Assaisonnez, et servez bien chaud.",N'hésitez pas à rajouter des légumes dans le blé !,Calories,"48,42",kcal,,1 Pomme,140 g,Calories,"74,9",kcal,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Protéines,"1,848",g,,,,Protéines,"0,7",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"0,144",g,,,,Lipides,"0,7",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"8,46",g,,,,Glucides,"15,68",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"36,42",mg,,,,Calcium,"4,9",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,0,mg,,,,Vitamines C,"4,858",mg,,,,,,,,,,,,,,,,,,,,
Quinoa,80,g,Quinoa,Épicerie,"Faites cuire, dans 2 fois plus d'eau bouillante salée, le boulgour pendant une dizaine de minutes, puis égouttez le tout s'il reste de l'eau, et mettez-le boulgour cuit dans un saladier. Couvrez et laissez gonfler 5 minutes. Assaisonnez, et servez bien chaud.",N'hésitez pas à rajouter des légumes dans le blé !,Calories,"92,8",kcal,,1 brin de romarin,10 g,Calories,"12,1",kcal,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Protéines,"3,28",g,,,,Protéines,"0,331",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"1,536",g,,,,Lipides,"0,586",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"15,04",g,,,,Glucides,"0,66",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"13,6",mg,,,,Calcium,"31,7",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,0,mg,,,,Vitamines C,"2,18",mg,,,,,,,,,,,,,,,,,,,,
Épi de maïs au feu,1,,Épis de maïs,Primeur ou producteur,"Retirez les brins autour du maïs, puis rincez les épis. Beurrez les épis, assaisonnez-les. Placez-les dans un plat, couvrez-les et faites-les cuire dans un plat 10 minutes, sur les braises, puis sortez-les du plat et finissez la cuisson directement sur le grille pendant 2 minutes. Servez bien chaud.",N'hésitez pas à rajouter des épices sur l'épi de maïs avant la cuisson !,Calories,"133,5",kcal,,1 c. à c. Cannelle,2 g,Calories,"4,86",kcal,,,,,,,,,,,,,,,,,,,,
,5,g,Beurre,Épicerie,,,Protéines,"3,3985",g,,,,Protéines,"0,0774",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"5,215",g,,,,Lipides,"0,0244",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"17,0275",g,,,,Glucides,"0,55",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"5,1",mg,,,,Calcium,20,mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"6,9",mg,,,,Vitamines C,"0,076",mg,,,,,,,,,,,,,,,,,,,,
Ratatouille,"0,5",,Aubergines,Primeur ou producteur,"Coupez les tomates en morceaux de taille moyenne, et les aubergines et les courgettes en rondelles. Émincez les poivrons et les oignons en lamelles. Hachez l'ail.

Chauffez l'huile dans une poêle
et faites-y fondre les oignons et les poivrons. Lorsqu'ils sont tendres, ajoutez les tomates, l'ail haché, et le bouquet garni. Assaisonnez et laissez mijoter doucement à couvert durant 45 minutes.

Pendant ce temps, préparez les aubergines et les courgettes. Faites cuire séparément les aubergines et les courgettes dans l'huile d'olive pendant 15 minutes.
Vérifiez la cuisson des légumes pour qu'ils ne soient plus fermes.

Ajoutez-les au mélange de tomates et prolongez la cuisson sur tout petit feu pendant 10 min. Servez bien chaud.
Salez et poivrez si besoin.",N'hésitez pas à rajouter des épices dans la ratatouille en même temps que le bouquet garni !,Calories,"340,425",kcal,,1 c. à c. Épices à pain d'épice,2 g,Calories,"6,8",kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",,Courgettes,Primeur ou producteur,,,Protéines,"7,96525",g,,,,Protéines,"0,242",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Poivrons,Primeur ou producteur,,,Lipides,"18,50475",g,,,,Lipides,"0,198",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Glucides,"26,125",g,,,,Glucides,"0,752",g,,,,,,,,,,,,,,,,,,,,
,1,,Tomates,Primeur ou producteur,,,Calcium,"411,0055",mg,,,,Calcium,"8,94",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Gousses d'ail,Primeur ou producteur,,,Vitamines C,"175,215",mg,,,,Vitamines C,"0,0554",mg,,,,,,,,,,,,,,,,,,,,
,"0,25",,Bouquets garnis,Épicerie,,,,,,,1 pâte brisée,200 g,Calories,754,kcal,,,,,,,,,,,,,,,,,,,,
,1,c. à s.,Huile d'olive,Épicerie,,,,,,,,,Protéines,"10,7",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Lipides,39,g,,,,,,,,,,,,,,,,,,,,
Tian de légumes,1,,Tomates,Primeur ou producteur,"Coupez les tomates en rondelles de taille moyenne, et les aubergines et les courgettes en rondelles fines. Émincez les oignons en rondelles fines. Hachez l'ail.

Mettez l'ail dans le fond d'un plat, et aspergez le tout d'un filet d'huile. Rangez tous les légumes en rangées, en alternant les légumes. Versez la fin de l'huile d'olive sur le tout, assaisonnez, ajoutez le bouquet garni, couvrez et laissez cuire sur les braises une petite heure. Servez bien chaud. 

",N'hésitez pas à ajouter des épices et des garnitures en plus sur votre tian !,Calories,"339,125",kcal,,,,Glucides,"87,2",g,,,,,,,,,,,,,,,,,,,,
,1,,Courgettes,Primeur ou producteur,,,Protéines,"8,65025",g,,,,Calcium,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Aubergines,Primeur ou producteur,,,Lipides,"18,56725",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Glucides,25,g,,Maïzena,100 g,Calories,362,kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",,Gousses d'ail,Primeur ou producteur,,,Calcium,"429,588",mg,,,,Protéines,"0,43",g,,,,,,,,,,,,,,,,,,,,
,"0,25",,Bouquets garnis,Épicerie,,,Vitamines C,"77,84",mg,,,,Lipides,"0,25",g,,,,,,,,,,,,,,,,,,,,
,1,c. à s.,Huile d'olive,Épicerie,,,,,,,,,Glucides,"89,2",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Calcium,6,mg,,,,,,,,,,,,,,,,,,,,
Haricots blancs/rouges,60,g,Haricots rouges ou blancs,Primeur ou producteur,"Faites tremper les haricots au moins 8 heures dans de l'eau froide, puis faites-les cuire à l'eau bouillante salée au moins une heure, en diminuant le feu, et en vérifiant la cuisson.

Egouttez, assaisonnez et servez bien chaud.",N'hésitez pas à ajouter des épices ou du bouillon dans l'eau de cuisson des haricots !,Calories,"188,4",kcal,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Protéines,"13,5",g,,Crème liquide,100 g,Calories,192,kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"0,636",g,,,,Protéines,"2,64",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"27,66",g,,,,Lipides,"14,6",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"49,8",mg,,,,Glucides,"4,5",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"2,7",mg,,,,Calcium,99,mg,,,,,,,,,,,,,,,,,,,,
Semoule,50,g,Semoule,Épicerie,"Portez à ébullition autant d'eau que de semoule, puis versez cette eau bouillante sur la semoule, dans un saladier, et mélangez bien à la fourchette. Couvrez le tout 5 minutes, le temps que la semoule gonfle, puis enlevez le couvercle et mélangez bien à la fourchette. Ajoutez l'huile et assaisonnez, puis mélangez de nouveau. Servez bien chaud.",N'hésitez pas à rajouter des raisins secs ou des oignons caramélisés dans la semoule !,Calories,"209,75",kcal,,,,Vitamines C,"0,5",mg,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s.,Huile d'olive,Épicerie,,,Protéines,"5,45",g,,1 Poire,150 g,Calories,75,kcal,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Lipides,"4,375",g,,,,Protéines,"0,735",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"35,8",g,,,,Lipides,"0,405",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"8,546375",mg,,,,Glucides,"16,35",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,0,mg,,,,Calcium,"9,69",mg,,,,,,,,,,,,,,,,,,,,
Pad thaï,50,g,Nouilles,Épicerie,"Faites chauffer une grosse poêle, et ajoutez l'huile, le poulet, les épices et assaisonnez. Faites cuire pendant 4 à 5 minutes. Ajoutez les œufs battus en omelette et mélangez bien. Enlevez le tout et mettre dans un plat. 

Faites revenir dans de l'huile l'ail, les oignons et le vinaigre pendant 2 minutes. Faites cuire les pâtes dans l'eau bouillante, puis ajoutez-les dans cette sauce. Ajoutez les amandes coupées en petits morceaux, le poulet et les légumes au tout et bien mélangez. Servez bien chaud.

Option végétarienne : Vous pouvez retirer le poulet et le remplacer par des pois chiches.",N'hésitez pas à ajouter des tranches de citron et du basilic sur le plat après la cuisson !,Calories,"564,808375",kcal,,,,Vitamines C,"6,93",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,Protéines,"31,1479325",g,,Raisins secs,100 g,Calories,283,kcal,,,,,,,,,,,,,,,,,,,,
,50,g,Poulet,Boucherie,,,Lipides,"26,82002",g,,,,Protéines,"2,09",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Œufs,Épicerie,,,Glucides,"44,221975",g,,,,Lipides,"0,49",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Gousses d'ail,Primeur ou producteur,,,Calcium,"121,53175",mg,,,,Glucides,"62,4",g,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à c.,Piment d'Espelette,Épicerie,,,Vitamines C,"4,44525",mg,,,,Calcium,"63,8",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à c.,Paprika,Épicerie,,,,,,,,,Vitamines C,"3,47",mg,,,,,,,,,,,,,,,,,,,,
,25,g,Amandes,Primeur ou producteur,,,,,,,Flocons d'avoine,100 g,Calories,367,kcal,,,,,,,,,,,,,,,,,,,,
,25,g,Pousses de soja,Primeur ou producteur,,,,,,,,,Protéines,"13,3",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,,,,,,,Lipides,"6,51",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Vinaigre blanc,Épicerie,,,,,,,,,Glucides,"57,9",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Calcium,"84,3",mg,,,,,,,,,,,,,,,,,,,,
Salade verte,50,g,Salade verte,Primeur ou producteur,"Mélangez l'huile d'olive, le vinaigre et la moutarde ensemble, puis mélangez cette vinaigrette avec la salade dans un saladier, assaisonnez et servez.","N'hésitez pas à ajouter des garnitures locales (noix, noisette, raisins secs, etc.. ...) !",Calories,"80,20666669",kcal,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,Protéines,"0,6594999989",g,,Roquette,100 g,Calories,"27,9",kcal,,,,,,,,,,,,,,,,,,,,
,"0,1666666667",c. à s.,Vinaigre,Épicerie,,,Lipides,"7,787999998",g,,,,Protéines,"2,58",g,,,,,,,,,,,,,,,,,,,,
,"0,3333333333",c. à c.,Moutarde,Épicerie,,,Glucides,"1,481600012",g,,,,Lipides,"0,66",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Calcium,"20,01874999",mg,,,,Glucides,"2,1",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"0,9926666668",mg,,,,Calcium,160,mg,,,,,,,,,,,,,,,,,,,,
Salade de fraises,100,g,Fraises,Primeur ou producteur,"Lavez les fraises, équeutez-les et coupez-les en quartiers. Placez-les dans un saladier, et ajoutez le citron et la cassonnade, puis mélangez bien et laissez reposer au frais au moins une bonne heure. Servez bien frais.","N'hésitez pas à rajouter de la menthe ciselée, des amandes ou des pistaches concassées en fonction de ce que vous avez localement !",Calories,"66,08",kcal,,,,Vitamines C,15,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Cassonnade,Épicerie,,,Protéines,"0,908",g,,1 c. à s. Câpres,10 g,Calories,"2,3",kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",,Citrons,Primeur ou producteur,,,Lipides,"0,39",g,,,,Protéines,"0,225",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"11,925",g,,,,Lipides,"0,086",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"21,36",mg,,,,Glucides,"0,35",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"82,7",mg,,,,Calcium,4,mg,,,,,,,,,,,,,,,,,,,,
Brochettes de fruits,250,g,Fruits de saison,Primeur ou producteur,"Lavez les fruits, épluchez ceux qui doivent être épluchés, et coupez-les en morceaux de taille moyenne, puis mettez-les sur la pique à brochettes, en alternant les fruits. Aspergez-les de jus de citron pour ne pas qu'ils noircissent et gardez-les au frais.",N'hésitez pas à verser un peu de chocolat fondu sur les brochettes !,Calories,"201,884",kcal,,,,Vitamines C,"0,43",mg,,,,,,,,,,,,,,,,,,,,
,"0,2",,Citrons,Primeur ou producteur,,,Protéines,"1,0766",g,,Pain ronds,200 g,Calories,562,kcal,,,,,,,,,,,,,,,,,,,,
,1,,Piques à brochettes,Épicerie,,,Lipides,"1,043",g,,,,Protéines,"16,44",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"41,344",g,,,,Lipides,"3,96",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"21,978",mg,,,,Glucides,"110,2",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"34,115",mg,,,,Calcium,"62,4",mg,,,,,,,,,,,,,,,,,,,,
Salade de fruits,250,g,Fruits de saison,Primeur ou producteur,"Lavez les fruits, épluchez ceux qui doivent être épluchés, et coupez-les en morceaux de taille moyenne, puis mettez-les tous dans un grand saladier. Aspergez-les de jus de citron et ajoutez la cassonnade, mélangez bien et gardez-les au frais.",N'hésitez pas à ajouter des herbes ou des fruits secs dans votre salade !,Calories,"223,68",kcal,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,25",,Citrons,Primeur ou producteur,,,Protéines,"1,133",g,,Grain de maïs spécial pop-corn,100 g,Calories,417,kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Cassonnade,Épicerie,,,Lipides,"1,085",g,,,,Protéines,"10,5",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"46,385",g,,,,Lipides,"12,3",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"26,95",mg,,,,Glucides,"59,7",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"37,175",mg,,,,Calcium,7,mg,,,,,,,,,,,,,,,,,,,,
Fondue au chocolat,50,g,Chocolat,Épicerie,"Épluchez les fruits et coupez-les en tranche, et mettez-les dans un grand saladier. 

Dans une marmite, faites fondre le chocolat avec le beurre et la crème, et mélangeant bien pour que le mélange soit bien lisse.

Servez la préparation de chocolat au milieu de la table, les jeunes se servant eux-mêmes en fruit et les trempant dans le chocolat.","N'hésitez pas à ajouter de la cannelle, de la vanille ou des noisettes dans le chocolat !",Calories,"460,5",kcal,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,50,ml,Crème fraîche épaisse,Épicerie,,,Protéines,"4,9885",g,,1 Blanc d'oeuf,30 g,Calories,"14,43",kcal,,,,,,,,,,,,,,,,,,,,
,5,g,Beurre,Épicerie,,,Lipides,"37,375",g,,,,Protéines,"3,24",g,,,,,,,,,,,,,,,,,,,,
,150,g,Fruits de saison,Primeur ou producteur,,,Glucides,"24,0725",g,,,,Lipides,"0,057",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"105,37",mg,,,,Glucides,"0,255",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"0,33",mg,,,,Calcium,"1,8",mg,,,,,,,,,,,,,,,,,,,,
Oranges rôties,1,,Oranges,Primeur ou producteur,"Lavez les oranges et prélevez les zestes en les taillant en julienne. Faites-les cuire dans de l'eau bouillante 2 minutes, puis égouttez-les. Remettez les zestes dans la casserole, ajoutez la cassonnade et autant d'eau que sucre. Faites cuire 20 minutes à feu doux. Laissez-le tout refroidir.

Pelez les oranges à vif, mettez-les dans un plat et arrosez-les avec un peu d’eau, couvrez et mettez sur le feu pendant une petite demi-heure.

Disposez les oranges dans des coupelles, parsemez de zestes d’orange et arrosez de sirop. Servez tiède ou froid.",N'hésitez pas à rajouter de la cannelle ou des épices dans la préparation des zestes avant la cuisson !,Calories,"80,375",kcal,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,25,g,Cassonnade,Épicerie,,,Protéines,"1,653",g,,1 feuille de gélatine,2 g,Calories,"6,96",kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"0,54",g,,,,Protéines,"1,738",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"14,3075",g,,,,Lipides,"0,002",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"46,625",mg,,,,Glucides,0,g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"85,5",mg,,,,Calcium,"5,6",mg,,,,,,,,,,,,,,,,,,,,
Pommes rôties,1,,Pommes,Primeur ou producteur,"Lavez les pommes et prélevez le trognon de toutes les pommes. Mettez-les dans un plat et arrosez-les avec un peu d’eau et avec la cassonnade, couvrez et mettez sur le feu pendant une petite demi-heure. Servez bien chaud.",N'hésitez pas à rajouter de la cannelle ou des épices sur les pommes avant la cuisson !,Calories,"84,625",kcal,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,25,g,Cassonnade,Épicerie,,,Protéines,"0,703",g,,1 c. à s. Ketchup,15 g,Calories,"14,85",kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"0,7",g,,,,Protéines,"0,1905",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"18,1075",g,,,,Lipides,"0,0285",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"6,975",mg,,,,Glucides,"3,21",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"4,858",mg,,,,Calcium,"3,21",mg,,,,,,,,,,,,,,,,,,,,
Poêlée de fruits aux épices et aux herbes,150,g,Fruits de saison,Primeur ou producteur,"Épluchez et coupez-les fruits en morceaux, puis, dans une poêle, faites-les cuire avec les épices, la cannelle et le sucre, pendant une quinzaine de minutes. Servez chaud.","N'hésitez pas à ajouter des garnitures locales et de saisons (fruits secs, épices ou herbes différentes, etc.. ...) !",Calories,"57,83",kcal,,,,Vitamines C,"1,428",mg,,,,,,,,,,,,,,,,,,,,
,1,brins,Romarin,Épicerie,,,Protéines,"0,4907",g,,Mascarpone,100 g,Calories,355,kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à c.,Cannelle,Épicerie,,,Lipides,"0,6972",g,,,,Protéines,"4,38",g,,,,,,,,,,,,,,,,,,,,
,10,g,Sucre,Épicerie,,,Glucides,"11,281",g,,,,Lipides,39,g,,,,,,,,,,,,,,,,,,,,
